district,dt_cen_cd,st_nm,censuscode,st_cen_cd
Koraput,29,Odisha,398,21
Korba,5,Chhattisgarh,404,22
Krishna,16,Andhra Pradesh,547,28
Krishnagiri,30,Tamil Nadu,631,33
Purba Medinipur,19,West Bengal,345,19
Kurnool,21,Andhra Pradesh,552,28
Nashik,20,Maharashtra,516,27
Dima Hasao,16,Assam,315,18
Mayurbhanj,7,Odisha,376,21
Ramanathapuram,25,Tamil Nadu,626,33
Medak,4,Andhra Pradesh,535,28
Morena,2,Madhya Pradesh,419,23
North West Delhi,1,Delhi,90,7
Datia,5,Madhya Pradesh,422,23
Osmanabad,29,Maharashtra,525,27
Pakur,8,Jharkhand,353,20
Palakkad,6,Kerala,593,32
Puruliya,14,West Bengal,340,19
Raigarh,4,Chhattisgarh,403,22
Raipur,11,Chhattisgarh,410,22
Rajgarh,25,Madhya Pradesh,442,23
Rajkot,9,Gujarat,476,24
Rajnandgaon,9,Chhattisgarh,408,22
Ranga Reddy,6,Andhra Pradesh,537,28
Ratlam,17,Madhya Pradesh,434,23
Samba,22,Jammu & Kashmir,22,1
Ratnagiri,32,Maharashtra,528,27
Rayagada,27,Odisha,396,21
Rewa,13,Madhya Pradesh,430,23
Solapur,30,Maharashtra,526,27
Sabar Kantha,5,Gujarat,472,24
Chandauli,66,Uttar Pradesh,196,9
Sagar,10,Madhya Pradesh,427,23
Salem,7,Tamil Nadu,608,33
Sambalpur,3,Odisha,372,21
Sangli,35,Maharashtra,531,27
Sangrur,19,Punjab,53,3
Srikakulam,11,Andhra Pradesh,542,28
Satara,31,Maharashtra,527,27
Satna,12,Madhya Pradesh,429,23
Jamtara,18,Jharkhand,363,20
Sehore,28,Madhya Pradesh,445,23
Senapati,1,Manipur,272,14
Almora,9,Uttarakhand,64,5
Seoni,39,Madhya Pradesh,456,23
Sheopur,1,Madhya Pradesh,418,23
Bishnupur,4,Manipur,275,14
South 24 Parganas,17,West Bengal,343,19
Ambala,2,Haryana,70,6
Amravati,7,Maharashtra,503,27
Aurangabad,33,Bihar,235,10
Amreli,13,Gujarat,480,24
Anjaw,16,Arunanchal Pradesh,260,12
Ashoknagar,42,Madhya Pradesh,459,23
Bengaluru Rural,29,Karnataka,583,29
Bengaluru,18,Karnataka,572,29
Banka,23,Bihar,225,10
Barnala,20,Punjab,54,3
Bathinda,12,Punjab,46,3
Mokokchung,2,Nagaland,262,13
Baudh,22,Odisha,391,21
Begusarai,20,Bihar,222,10
Bhandara,10,Maharashtra,506,27
Goalpara,3,Assam,302,18
Belagavi,1,Karnataka,555,29
Ballari,11,Karnataka,565,29
Bharatpur,7,Rajasthan,105,8
Bharuch,21,Gujarat,488,24
Bongaigaon,20,Assam,319,18
Bhavnagar,14,Gujarat,481,24
Bhiwani,13,Haryana,81,6
Bilaspur,8,Himachal Pradesh,30,2
Bhopal,27,Madhya Pradesh,444,23
Dadra & Nagar Haveli,1,Dadara & Nagar Havelli,496,26
Bundi,23,Rajasthan,121,8
Chikkaballapura,28,Karnataka,582,29
Chirang,21,Assam,320,18
Chitradurga,12,Karnataka,566,29
Churachandpur,3,Manipur,274,14
Debagarh,4,Odisha,373,21
Dhamtari,13,Chhattisgarh,412,22
Dharmapuri,29,Tamil Nadu,630,33
Dharwad,8,Karnataka,562,29
Dhaulpur,8,Rajasthan,106,8
Dhemaji,9,Assam,308,18
Dhenkanal,14,Odisha,383,21
Upper Dibang Valley,13,Arunanchal Pradesh,257,12
Dibrugarh,11,Assam,310,18
Dohad,18,Gujarat,485,24
Dungarpur,26,Rajasthan,124,8
East Kameng,3,Arunanchal Pradesh,247,12
East Khasi Hills,6,Meghalaya,298,17
East Siang,7,Arunanchal Pradesh,251,12
South Garo Hills,3,Meghalaya,295,17
Kishtwar,18,Jammu & Kashmir,18,1
Fatehgarh Sahib,6,Punjab,40,3
Gandhinagar,6,Gujarat,473,24
Garhwa,1,Jharkhand,346,20
Pauri Garhwal,6,Uttarakhand,61,5
Gopalganj,15,Bihar,217,10
Mumbai Suburban,22,Maharashtra,518,27
Hailakandi,19,Assam,318,18
Hardwar,13,Uttarakhand,68,5
Hisar,12,Haryana,80,6
Panipat,7,Haryana,75,6
Wayanad,3,Kerala,590,32
Hoshiarpur,4,Punjab,38,3
Imphal East,7,Manipur,278,14
Jagatsinghapur,11,Odisha,380,21
Reasi,20,Jammu & Kashmir,20,1
Jalandhar,3,Punjab,37,3
Jalgaon,3,Maharashtra,499,27
Jalna,18,Maharashtra,514,27
Jalore,18,Rajasthan,116,8
Kozhikode,4,Kerala,591,32
Jalpaiguri,2,West Bengal,328,19
Wokha,4,Nagaland,264,13
Jamui,36,Bihar,238,10
Janjgir - Champa,6,Chhattisgarh,405,22
Jhabua,47,Madhya Pradesh,464,23
Jhajjar,15,Haryana,83,6
Khunti,20,Jharkhand,365,20
Jhunjhunu,5,Rajasthan,103,8
Kaithal,5,Haryana,73,6
Kamrup Metropolitan,23,Assam,322,18
Madhepura,11,Bihar,213,10
Kangra,2,Himachal Pradesh,24,2
Uttar Bastar Kanker,14,Chhattisgarh,413,22
Kanniyakumari,28,Tamil Nadu,629,33
Kapurthala,2,Punjab,36,3
Kolar,27,Karnataka,581,29
Karbi Anglong,15,Assam,314,18
Kargil,,Ladakh,,
Karnal,6,Haryana,74,6
Kollam,13,Kerala,600,32
Kullu,4,Himachal Pradesh,26,2
Kupwara,1,Jammu & Kashmir,1,1
Kurukshetra,4,Haryana,72,6
Kurung Kumey,12,Arunanchal Pradesh,256,12
Lakhimpur,8,Assam,307,18
Lakhisarai,25,Bihar,227,10
Lawngtlai,7,Mizoram,287,15
Lohardaga,11,Jharkhand,356,20
Serchhip,5,Mizoram,285,15
Lohit,15,Arunanchal Pradesh,259,12
Lower Dibang Valley,14,Arunanchal Pradesh,258,12
Lower Subansiri,11,Arunanchal Pradesh,255,12
Ludhiana,7,Punjab,41,3
Madhubani,5,Bihar,207,10
Madurai,22,Tamil Nadu,623,33
Mahendragarh,16,Haryana,84,6
Malappuram,5,Kerala,592,32
Malkangiri,30,Odisha,399,21
Mamit,1,Mizoram,281,15
Mandi,5,Himachal Pradesh,27,2
Mansa,13,Punjab,47,3
Nuh,19,Haryana,87,6
Moga,8,Punjab,42,3
Nalgonda,8,Andhra Pradesh,539,28
Namakkal,8,Tamil Nadu,609,33
Narayanpur,16,Chhattisgarh,415,22
Palwal,21,Haryana,89,6
Narmada,20,Gujarat,487,24
Navsari,23,Gujarat,490,24
Nawada,35,Bihar,237,10
Nayagarh,16,Odisha,385,21
Panchkula,1,Haryana,69,6
The Nilgiris,10,Tamil Nadu,611,33
Nizamabad,2,Andhra Pradesh,533,28
North District,1,Sikkim,241,11
North Goa,1,Goa,585,30
North Tripura,4,Tripura,292,16
Nuapada,25,Odisha,394,21
Papum Pare,4,Arunanchal Pradesh,248,12
Pathanamthitta,12,Kerala,599,32
Perambalur,14,Tamil Nadu,615,33
Phek,6,Nagaland,266,13
Pratapgarh,33,Rajasthan,131,8
Ramgarh,16,Jharkhand,361,20
Ranchi,19,Jharkhand,364,20
Ribhoi,5,Meghalaya,297,17
Rohtas,32,Bihar,234,10
Rudraprayag,3,Uttarakhand,58,5
Rupnagar,17,Punjab,51,3
Sahibganj,7,Jharkhand,352,20
Saiha,8,Mizoram,288,15
Saraikela-Kharsawan,24,Jharkhand,369,20
Saran,17,Bihar,219,10
Shahid Bhagat Singh Nagar,5,Punjab,39,3
Shajapur,19,Madhya Pradesh,436,23
Sivasagar,12,Assam,311,18
Simdega,22,Jharkhand,367,20
Sirmaur,10,Himachal Pradesh,32,2
Tuensang,7,Nagaland,267,13
Sirohi,19,Rajasthan,117,8
South Tripura,2,Tripura,290,16
Sirsa,11,Haryana,79,6
Siwan,16,Bihar,218,10
Solan,9,Himachal Pradesh,31,2
Subarnapur,23,Odisha,392,21
Sonitpur,7,Assam,306,18
Tawang,1,Arunanchal Pradesh,245,12
The Dangs,22,Gujarat,489,24
Theni,23,Tamil Nadu,624,33
Thiruvananthapuram,14,Kerala,601,32
Tinsukia,10,Assam,309,18
Ukhrul,8,Manipur,279,14
Upper Subansiri,5,Arunanchal Pradesh,249,12
West Kameng,2,Arunanchal Pradesh,246,12
West Khasi Hills,4,Meghalaya,296,17
West Siang,6,Arunanchal Pradesh,250,12
West Tripura,1,Tripura,289,16
Yadgir,26,Karnataka,580,29
Kabeerdham,8,Chhattisgarh,407,22
Jind,9,Haryana,77,6
Arwal,38,Bihar,240,10
Jehanabad,37,Bihar,239,10
Nicobars,1,Andaman & Nicobar Island,638,35
South Andaman,3,Andaman & Nicobar Island,640,35
Ballia,63,Uttar Pradesh,193,9
Shamli,74,Uttar Pradesh,,9
Deoria,60,Uttar Pradesh,190,9
Baghpat,8,Uttar Pradesh,139,9
Ghaziabad,9,Uttar Pradesh,140,9
Kushinagar,59,Uttar Pradesh,189,9
Pilibhit,21,Uttar Pradesh,151,9
Gautam Buddha Nagar,10,Uttar Pradesh,141,9
Aligarh,12,Uttar Pradesh,143,9
Bareilly,20,Uttar Pradesh,150,9
Rampur,5,Uttar Pradesh,136,9
Saharanpur,1,Uttar Pradesh,132,9
Agra,15,Uttar Pradesh,146,9
Jhansi,36,Uttar Pradesh,166,9
Lalitpur,37,Uttar Pradesh,167,9
Chitrakoot,41,Uttar Pradesh,171,9
Mirzapur,69,Uttar Pradesh,199,9
